"dni;nombre;apellido1;apellido2;email;telefono"
"856478651;Bueno;Fuentes;Antonio Julián;c1@gmail.com;678243281"
"856478652;Cervilla;Alcalde;María José;c2@gmail.com;678323481"
"856478653;Escribano;Ruiz;José Miguel;C3@gmail.com;678123481"
"856478654;García;Fuentes;Álvaro;c4@gmail.com;678353431"
"856478655;García;Toril;Juan;c5@gmail.com;678388751"
"856478656;García;Triviño;Gontzal;c6@gmail.com;678324511"
"856478657;Jiménez;Leyva;Alejandro;c7@gmail.com;673383241"
"856478658;López;Valero;José Manuel;c8@gmail.com;634283281"
"856478659;Ordoño;Bernier;Virginia;c9@gmail.com;671213281"
"8564786510;Pantoja;Porras;Raúl;c10@gmail.com;638383281"
"256478651;Pérez;Lara;José Luis;c11@gmail.com;622483281"
"256478656;Sánchez;López;Javier;c12@gmail.com;67832181"
"256478654;Vicente;Peligro;Hugo;c12@gmail.com;618383281"
