"dni; nombre; apellidos; email; telefono"
"43467892A; Antonio Julián; Bueno Fuentes; c1@gmail.com; 678243281"
"85527603A; María José; Cervilla Alcalde; c2@gmail.com; 678323481"
"93281179A; José Miguel; Escribano Ruiz; C3@gmail.com; 678123481"
"72945788A; Álvaro; García Fuentes; c4@gmail.com; 678353431"
"19723680A; Juan; García Toril; c5@gmail.com; 678388751"
"86732507A; Gontzal; García Triviño; c6@gmail.com; 678324511"
"55183702A; Alejandro; Jiménez Leyva; c7@gmail.com; 673383241"
"23564183A; José Manuel; López Valero; c8@gmail.com; 634283281"
"69173528A; Virginia; Ordoño Bernier; c9@gmail.com; 671213281"
"82697510A; Raúl; Pantoja Porras; c10@gmail.com; 638383281"
"31164855A; José Luis; Pérez Lara; c11@gmail.com; 622483281"
"81532719A; Javier; Sánchez López; c12@gmail.com; 678321081"
"45673218A; Hugo; Vicente Peligro; c12@gmail.com; 618383281"
